Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
76,812.41,429.86,120.90,788.10,43.00,286.20,2073.00,149.90,1066.30,4194.80,205.60,5704.20,107.40,1683.40,7972.70,7554.60,2570.50,2157.50,10135.70
77,812.55,431.98,121.50,628.10,48.00,281.20,2423.80,152.80,1057.90,4219.00,196.80,5674.60,112.80,1701.40,6790.50,7963.30,2888.90,2194.40,9832.20
78,812.69,434.11,122.70,481.80,47.30,273.50,3016.00,152.00,1041.70,4209.00,194.40,5644.70,108.60,1705.30,5657.40,8578.80,3456.30,2195.20,9665.70
79,812.83,436.23,123.70,364.20,40.50,273.80,3830.10,147.50,1008.40,4233.60,191.80,5596.90,110.30,1712.80,4773.40,9350.50,4082.40,2232.10,9678.70
80,812.97,438.35,123.00,282.10,48.40,276.50,4757.80,142.20,962.10,4258.60,194.20,5592.20,101.50,1720.80,4103.30,10083.80,4680.60,2253.00,9724.60
81,813.11,440.47,116.30,227.10,44.70,280.20,5522.80,151.90,923.40,4256.80,196.70,5548.00,88.50,1726.10,3703.10,10463.40,5006.90,2279.60,9874.40
82,813.26,442.59,113.70,186.80,33.20,306.20,5894.90,135.10,853.30,4312.70,185.20,5570.20,98.20,1741.40,3454.00,10401.10,4986.30,2311.00,10035.40
83,813.40,444.71,121.00,162.90,32.30,357.70,5745.00,146.90,812.80,4388.80,190.20,5568.60,99.90,1759.80,3360.10,9892.30,4565.90,2302.30,10143.50
84,813.54,446.82,125.90,146.90,40.40,463.20,5132.20,142.50,751.90,4499.30,180.60,5600.40,96.30,1733.50,3446.30,9129.80,3916.50,2345.70,10151.50
85,813.68,448.94,134.80,120.00,36.70,648.50,4255.10,160.50,707.20,4643.50,199.80,5603.30,110.50,1766.10,3672.00,8248.10,3185.30,2343.70,10041.80
86,813.82,451.05,145.30,122.60,36.40,826.80,3360.60,145.10,655.80,4809.40,195.00,5605.20,97.10,1737.00,4182.50,7504.20,2568.00,2398.80,9857.50
87,813.96,453.17,164.70,102.30,34.30,947.40,2655.90,143.50,600.00,5002.50,197.90,5641.70,103.70,1734.20,4952.90,6963.50,2122.50,2419.70,9658.70
88,814.10,455.28,209.50,106.00,31.60,953.50,2161.40,147.50,563.30,5298.70,202.80,5646.80,104.90,1693.50,5943.20,6634.80,1848.80,2426.10,9380.40
89,814.24,457.39,257.90,95.30,34.10,885.40,1897.40,148.30,530.30,5686.10,217.60,5665.60,107.00,1687.60,6979.00,6451.00,1689.50,2443.20,9092.00
90,814.38,459.51,327.70,92.00,34.20,710.90,1739.90,143.50,496.30,6107.20,217.20,5657.90,103.30,1655.00,7916.00,6346.70,1603.00,2474.50,8846.70
91,814.52,461.62,373.90,103.10,30.80,529.80,1664.40,145.20,475.90,6410.10,229.60,5618.70,106.40,1634.00,8556.60,6300.30,1571.90,2518.40,8522.30
92,814.66,463.73,412.50,105.10,31.90,396.80,1670.80,152.00,469.20,6599.10,244.60,5649.40,96.80,1629.20,8932.20,6365.20,1576.60,2522.10,8298.80
93,814.80,465.83,397.10,99.40,31.50,322.90,1722.40,151.20,457.40,6531.40,267.00,5635.80,105.30,1590.40,8806.50,6444.20,1640.50,2560.20,8063.00
94,814.94,467.94,364.90,113.20,34.00,304.50,1822.00,141.80,455.50,6260.10,277.60,5642.70,105.10,1589.70,8266.40,6537.40,1717.60,2563.50,7888.10
95,815.08,470.05,301.90,114.70,30.50,303.20,2062.00,138.10,469.90,5888.10,297.10,5641.10,107.00,1563.30,7391.80,6638.60,1791.80,2570.10,7739.10
96,815.22,472.15,249.00,125.60,29.40,313.20,2569.80,146.10,511.40,5500.90,336.90,5621.10,112.70,1564.40,6375.10,6778.70,1864.40,2607.80,7652.20
97,815.36,474.26,208.00,133.10,27.80,329.30,3499.50,140.30,556.20,5178.90,364.10,5601.20,92.70,1551.10,5306.10,6811.90,1894.30,2621.10,7589.00
98,815.50,476.36,176.60,135.70,32.50,323.40,4810.80,139.60,649.50,4986.10,409.30,5588.90,105.30,1519.60,4316.10,6836.30,1918.90,2637.90,7610.50
99,815.63,478.47,159.30,125.60,33.50,327.30,6204.30,139.10,754.90,4836.90,464.10,5585.90,100.20,1518.40,3561.20,6837.40,1897.80,2644.00,7696.10
100,815.77,480.57,156.20,115.60,27.30,316.20,7224.80,149.80,898.40,4760.00,537.30,5608.00,112.60,1515.30,3080.70,6815.00,1900.60,2673.50,7747.60
101,815.91,482.67,151.90,110.80,27.80,302.00,7502.70,141.30,1048.10,4695.20,618.80,5593.90,96.30,1510.90,2756.60,6888.40,1907.50,2664.20,7915.40
102,816.05,484.77,152.40,98.60,27.10,289.00,6888.10,142.60,1173.80,4657.90,716.00,5571.50,106.50,1508.10,2591.90,7006.00,2033.00,2678.20,8116.30
103,816.19,486.87,157.70,85.60,24.10,279.30,5648.70,140.70,1257.80,4609.00,790.20,5581.50,106.90,1504.70,2512.90,7214.00,2207.00,2692.10,8374.30
104,816.33,488.97,157.90,68.20,28.30,276.80,4191.30,148.20,1284.30,4601.60,847.40,5556.70,102.80,1487.30,2442.70,7445.50,2363.50,2659.60,8633.10
105,816.47,491.06,164.30,60.10,24.80,273.60,2946.50,137.50,1225.00,4637.50,899.30,5566.00,102.80,1497.60,2429.10,7716.10,2581.80,2668.20,8935.10
106,816.61,493.16,186.00,55.30,26.00,275.50,2122.60,138.60,1136.40,4744.10,891.30,5546.30,105.70,1508.50,2437.30,7956.50,2755.90,2700.00,9195.00
107,816.75,495.25,203.10,54.70,24.80,270.50,1701.50,135.70,1010.80,5009.40,873.00,5556.80,100.20,1496.00,2460.30,8050.90,2824.80,2680.40,9319.20
108,816.89,497.35,223.20,48.50,26.80,268.40,1533.30,138.30,884.60,5463.40,832.10,5559.10,123.90,1505.40,2515.20,8008.80,2806.90,2664.60,9447.80
109,817.03,499.44,250.30,46.20,27.40,270.80,1418.10,130.20,743.80,5943.70,776.80,5533.70,107.50,1465.10,2611.70,7870.40,2695.70,2658.40,9547.30
110,817.17,501.53,298.40,45.10,24.40,268.40,1368.30,132.20,638.10,6304.90,744.10,5526.80,125.60,1452.60,2736.10,7623.60,2524.70,2660.40,9592.50
111,817.31,503.62,362.50,43.60,25.90,263.60,1345.90,140.90,546.50,6410.20,730.10,5518.30,105.40,1435.60,2915.50,7413.70,2349.30,2635.90,9703.90
112,817.45,505.71,449.40,39.30,23.20,270.10,1335.50,127.00,453.40,6175.90,716.80,5518.50,107.90,1387.30,3207.70,7260.10,2240.20,2638.40,9794.80
113,817.59,507.80,618.50,41.90,30.70,270.00,1331.80,132.20,403.50,5735.90,719.50,5511.10,110.00,1355.90,3624.30,7177.20,2167.30,2611.40,10050.80
