Integration Time,200
Timestamp,2019-03-04 19_36_49.405000
Note,
Temperature,-15.41
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 19:36:49 Benzene 1x200ms Spectrum,2019-03-04 19:37:47 BMSB 1x60ms Spectrum,2019-03-04 19:42:13 Toluene 1x500ms Spectrum,2019-03-04 19:42:42 Cyclohexane 1x500ms Spectrum,2019-03-04 19:43:25 Caffeine 1x500ms Spectrum,2019-03-04 19:43:52 AmmoniumNitrate 1x500ms Spectrum,2019-03-04 19:45:29 Isopropanol 1x1s Spectrum,2019-03-04 19:46:51 Acetaminophen 1x500ms Spectrum,2019-03-04 19:47:20 Acetone 1x500ms Spectrum,2019-03-04 19:47:54 Coconut Oil 1x500ms Spectrum,2019-03-04 19:48:54 Methanol 1x1s Spectrum,2019-03-04 19:49:23 Mineral Oil 1x1s Spectrum,2019-03-04 19:50:32 Fructose 1x2s Spectrum,2019-03-04 19:51:30 Sugar 1x1s Spectrum,2019-03-04 19:52:27 Ammonium Chloride 1x2s Spectrum,2019-03-04 19:52:56 Sucrose 1x2s Spectrum,2019-03-04 19:54:30 Glucose Solution 1x5s Spectrum
91,546.44,496.81,469.50,2392.40,16501.00,415.00,7808.00,966.00,829.00,27322.00,1126.00,17392.00,1602.00,2090.00,15976.00,27267.00,16260.00,9006.00,17534.00
92,546.56,500.83,603.90,2341.60,16598.00,420.00,7841.00,970.00,756.00,27363.00,1126.00,17430.00,1594.00,2099.00,15985.00,27307.00,16885.00,9035.00,17296.00
93,546.68,504.85,673.10,2295.00,16662.00,425.00,7869.00,966.00,756.00,27473.00,1122.00,17470.00,1568.00,2090.00,16068.00,27343.00,17443.00,9061.00,17006.00
94,546.80,508.87,597.90,2282.20,16610.00,473.00,7981.00,1027.00,719.00,27628.00,1118.00,17446.00,1563.00,2113.00,16065.00,27376.00,18079.00,9090.00,16795.00
95,546.92,512.89,475.70,2270.80,16543.00,436.00,7994.00,998.00,696.00,27645.00,1145.00,17504.00,1585.00,2109.00,16099.00,27467.00,18732.00,9071.00,16471.00
96,547.04,516.90,396.00,2276.00,16558.00,437.00,8070.00,1003.00,657.00,27755.00,1158.00,17578.00,1593.00,2141.00,16085.00,27539.00,19337.00,9137.00,16227.00
97,547.16,520.91,345.50,2286.00,16554.00,454.00,8034.00,997.00,672.00,27650.00,1199.00,17608.00,1542.00,2104.00,16090.00,27601.00,19933.00,9127.00,15981.00
98,547.28,524.92,316.50,2295.60,16572.00,425.00,8116.00,1017.00,617.00,27761.00,1211.00,17604.00,1576.00,2102.00,16116.00,27675.00,20509.00,9165.00,15634.00
99,547.40,528.93,304.90,2323.10,16581.00,431.00,8120.00,1018.00,613.00,27704.00,1209.00,17558.00,1578.00,2153.00,16111.00,27716.00,21041.00,9196.00,15371.00
100,547.52,532.94,306.90,2357.60,16727.00,448.00,8226.00,1027.00,600.00,27643.00,1207.00,17676.00,1595.00,2183.00,16129.00,27753.00,21554.00,9199.00,15097.00
101,547.64,536.94,319.40,2360.60,16773.00,429.00,8233.00,1036.00,586.00,27725.00,1221.00,17675.00,1574.00,2143.00,16088.00,27698.00,21899.00,9196.00,14777.00
102,547.76,540.94,330.20,2342.40,16712.00,429.00,8298.00,1076.00,565.00,27757.00,1234.00,17735.00,1593.00,2164.00,16142.00,27795.00,22173.00,9196.00,14447.00
103,547.88,544.94,329.70,2318.20,16868.00,446.00,8379.00,1074.00,562.00,27799.00,1272.00,17741.00,1623.00,2202.00,16130.00,27911.00,22318.00,9258.00,14240.00
104,548.00,548.94,335.20,2288.40,16931.00,439.00,8477.00,1054.00,528.00,27885.00,1303.00,17842.00,1602.00,2255.00,16190.00,27901.00,22295.00,9232.00,13913.00
105,548.12,552.94,334.90,2260.70,17002.00,440.00,8550.00,1078.00,510.00,27840.00,1290.00,17803.00,1601.00,2191.00,16190.00,27945.00,22174.00,9200.00,13720.00
106,548.24,556.93,349.30,2241.90,17103.00,450.00,8655.00,1065.00,492.00,27933.00,1310.00,17820.00,1621.00,2183.00,16186.00,27995.00,21965.00,9268.00,13374.00
107,548.36,560.92,367.40,2237.20,17243.00,461.00,8896.00,1068.00,497.00,27899.00,1312.00,17889.00,1597.00,2185.00,16216.00,28025.00,21798.00,9293.00,13136.00
108,548.48,564.91,385.20,2234.70,17310.00,443.00,9210.00,1080.00,482.00,27997.00,1331.00,17918.00,1619.00,2255.00,16214.00,28074.00,21646.00,9306.00,12851.00
109,548.60,568.90,402.90,2224.60,17397.00,459.00,9551.00,1070.00,450.00,28076.00,1327.00,17946.00,1652.00,2273.00,16256.00,28151.00,21597.00,9321.00,12610.00
110,548.72,572.89,424.60,2223.60,17460.00,440.00,10009.00,1063.00,437.00,28186.00,1366.00,18025.00,1679.00,2303.00,16321.00,28304.00,21505.00,9393.00,12323.00
111,548.84,576.87,438.30,2223.40,17646.00,425.00,10481.00,1082.00,446.00,28314.00,1363.00,18147.00,1671.00,2263.00,16338.00,28342.00,21458.00,9384.00,12111.00
