Integration Time,100,,,,,,,,,,,,,,,,
Timestamp,2019-02-27 20_32_14.845000,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,
Temperature,-15.35,,,,,,,,,,,,,,,,
CCD C0,784.3300171,,,,,,,,,,,,,,,,
CCD C1,0.281829298,,,,,,,,,,,,,,,,
CCD C2,1.55E-05,,,,,,,,,,,,,,,,
CCD C3,-2.28E-08,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wavelength,2019-02-27 20:32:14 Toluene Spectrum,2019-02-27 20:37:51 Cyclohexane Spectrum,2019-02-27 20:40:21 Benzene Spectrum,2019-02-27 20:43:07 BMSB Spectrum,2019-02-27 20:44:15 Caffeine Spectrum,2019-02-27 20:44:39 Acetaminophen Spectrum,2019-02-27 20:45:00 AmmoniumNitrate Spectrum,2019-02-27 20:45:24 Acetone Spectrum,2019-02-27 20:45:43 Isopropanol Spectrum,2019-02-27 20:47:30 MineralOil Spectrum,2019-02-27 20:47:53 CoconutOil Spectrum,2019-02-27 20:48:12 Methanol Spectrum,2019-02-27 20:49:34 AmmoniumChloride Spectrum,2019-02-27 20:49:56 Fructose Spectrum,2019-02-27 20:50:27 Sugar Spectrum,2019-02-27 20:51:00 Sucrose Spectrum,2019-02-27 20:51:31 GlucoseSolution Spectrum
811.79,74.2,334.5,71.6,520.2,1800.7,5387.5,214.3,338.9,1005,2203,7057.8,133.4,2139,14558.6,8415.6,3457.8,2935.8
812.08,77.9,529.9,61.2,490.9,1955.3,5275.4,211.2,311,1228.9,2216.8,6985.4,134.4,2149.4,14213.6,7173.4,2563.8,2989.6
812.36,77.8,519.3,65,461.1,2093.5,5268,214.9,289,1354.5,2222.6,6957.4,131.8,2219.8,13259,6586.4,2139.6,2846
812.65,70.8,322.2,54.3,453.4,2412.5,5276,210.8,287.5,1369.6,2201.6,6869.8,122.6,2253.4,10739.6,6837.6,2295,2675.2
812.93,71.5,192.6,54.1,447.6,3562,5297.1,199.6,268.6,1288,2233.4,6807.2,123,2270,8690.2,8156.6,3222.2,2619.8
813.21,69.6,129.5,44.5,457.9,6124.3,5339.5,201.1,268.5,1172.5,2282.4,6784.8,124.4,2316.6,7663.2,10190.8,4647,2707.2
813.5,73.8,106,45.8,493.2,6948,5433.5,195.1,268.9,1041.8,2322.8,6772.8,123.6,2370.6,7319,9561.6,4219.2,2792.4
813.78,72.2,81.2,38,746.3,4689.2,5699.2,198.1,276.3,898.8,2298.4,6778.8,116,2417.4,7460,7380.6,2721,2753.4
814.07,91.3,70.5,42.6,1655.2,2892.7,6080.7,184.4,282,768.7,2240.6,6835.6,122,2469.8,8321,6144.4,1840.8,2621.8
814.35,129.3,72,40.1,1459,2175.9,6603.6,188.9,295.5,672.1,2188.2,6814.6,122.8,2505,10564.6,5642.8,1480.4,2468.8
814.64,203.4,65.4,33.2,725.7,1960.6,7781.7,183.5,328.2,610.9,2115.6,6793.4,99.4,2506.4,12378.4,5444.4,1365,2321.6
